"Year","area","fleet","totalUnits","totalEffort","units","effort","pooled.n","poolnum","pooledTotalUnits","pooledTotalEffort"
2011,"S","2",620,29634.618,32,2005.375,32,0,620,29634.618
2011,"S","3",110,3228.031,5,158.199,42,1,754,15417.929
2012,"N","1",909,7132.89,50,486.03,50,0,909,7132.89
2012,"N","2",472,24951.347,23,997.896,23,0,472,24951.347
2012,"N","3",36,728.03,2,6.501,8,1,188,4400.029
2012,"S","2",607,30819.534,32,1858.804,32,0,607,30819.534
2012,"S","3",188,4177.449,11,194.538,11,0,188,4177.449
2013,"N","1",867,6817.907,56,488.086,56,0,867,6817.907
2013,"N","2",368,19872.651,16,794.484,16,0,368,19872.651
2013,"S","2",552,27355.804,28,1082.818,28,0,552,27355.804
2013,"S","3",201,4180.789,14,247.952,14,0,201,4180.789
2014,"N","1",862,6461.883,36,327.403,36,0,862,6461.883
2014,"N","2",340,18979.234,14,1025.883,14,0,340,18979.234
2014,"N","3",40,1060.935,1,60.45,7,1,133,3287.922
2014,"S","2",527,26622.879,31,1212.473,31,0,527,26622.879
2014,"S","3",202,4041.351,10,72.226,10,0,202,4041.351
2015,"N","1",712,5034.419,33,229.782,33,0,712,5034.419
2015,"N","2",320,16542.863,13,728.171,13,0,320,16542.863
2015,"S","2",516,23933.206,24,1032.844,24,0,516,23933.206
2015,"S","3",135,1141.211,8,26.151,8,0,135,1141.211
2016,"N","2",386,19369.323,19,873.027,19,0,386,19369.323
2016,"N","3",57,1498.957,4,135.975,13,1,194,4442.203
2016,"S","2",397,18857.564,20,998.303,20,0,397,18857.564
2016,"S","3",173,3796.225,6,168.726,6,0,173,3796.225
2017,"N","2",384,20312.14,20,1027.272,20,0,384,20312.14
2017,"N","3",14,266.334,2,26.46,12,1,154,3381.268
2017,"S","2",466,22685.327,23,980.17,23,0,466,22685.327
2017,"S","3",177,3167.082,8,41.627,8,0,177,3167.082
2018,"N","2",400,19727.455,25,1210.204,25,0,400,19727.455
2018,"N","3",83,1615.977,6,133.272,6,0,83,1615.977
2018,"S","2",529,25116.605,21,780.979,21,0,529,25116.605
2018,"S","3",180,3022.398,5,85.08,19,1,530,9985.705
